"date","index","area"
2012-03-31,1.328,"Northland"
2012-03-31,1.396,"Otago"
2012-03-31,1.378,"Southland"
2012-03-31,1.399,"Taranaki"
2012-03-31,1.361,"Tasman"
2012-03-31,1.33,"Waikato"
2012-03-31,1.364,"Wellington"
2012-03-31,1.624,"West Coast"
2012-06-30,1.378,"New Zealand"
2012-06-30,1.343,"Auckland"
2012-06-30,1.348,"Bay of Plenty"
2012-06-30,1.505,"Canterbury"
2012-06-30,1.364,"Gisborne"
2012-06-30,1.339,"Hawke's Bay"
2012-06-30,1.341,"Manawatu-Whanganui"
2012-06-30,1.38,"Marlborough"
2012-06-30,1.373,"Nelson"
2012-06-30,1.331,"Northland"
2012-06-30,1.41,"Otago"
2012-06-30,1.392,"Southland"
2012-06-30,1.416,"Taranaki"
2012-06-30,1.372,"Tasman"
2012-06-30,1.335,"Waikato"
2012-06-30,1.372,"Wellington"
2012-06-30,1.654,"West Coast"
2012-09-30,1.387,"New Zealand"
2012-09-30,1.349,"Auckland"
2012-09-30,1.357,"Bay of Plenty"
2012-09-30,1.52,"Canterbury"
2012-09-30,1.369,"Gisborne"
2012-09-30,1.345,"Hawke's Bay"
2012-09-30,1.348,"Manawatu-Whanganui"
2012-09-30,1.387,"Marlborough"
2012-09-30,1.387,"Nelson"
2012-09-30,1.335,"Northland"
2012-09-30,1.424,"Otago"
2012-09-30,1.406,"Southland"
2012-09-30,1.434,"Taranaki"
2012-09-30,1.382,"Tasman"
2012-09-30,1.339,"Waikato"
2012-09-30,1.379,"Wellington"
2012-09-30,1.68,"West Coast"
2012-12-31,1.402,"New Zealand"
2012-12-31,1.359,"Auckland"
2012-12-31,1.372,"Bay of Plenty"
2012-12-31,1.541,"Canterbury"
2012-12-31,1.387,"Gisborne"
2012-12-31,1.359,"Hawke's Bay"
2012-12-31,1.361,"Manawatu-Whanganui"
2012-12-31,1.403,"Marlborough"
2012-12-31,1.403,"Nelson"
2012-12-31,1.344,"Northland"
2012-12-31,1.442,"Otago"
2012-12-31,1.426,"Southland"
2012-12-31,1.456,"Taranaki"
2012-12-31,1.402,"Tasman"
2012-12-31,1.352,"Waikato"
2012-12-31,1.389,"Wellington"
2012-12-31,1.702,"West Coast"
2013-03-31,1.408,"New Zealand"
2013-03-31,1.364,"Auckland"
2013-03-31,1.379,"Bay of Plenty"
2013-03-31,1.552,"Canterbury"
2013-03-31,1.397,"Gisborne"
2013-03-31,1.371,"Hawke's Bay"
2013-03-31,1.364,"Manawatu-Whanganui"
2013-03-31,1.408,"Marlborough"
2013-03-31,1.408,"Nelson"
2013-03-31,1.349,"Northland"
2013-03-31,1.449,"Otago"
2013-03-31,1.441,"Southland"
2013-03-31,1.469,"Taranaki"
2013-03-31,1.404,"Tasman"
2013-03-31,1.355,"Waikato"
2013-03-31,1.393,"Wellington"
2013-03-31,1.707,"West Coast"
2013-06-30,1.419,"New Zealand"
2013-06-30,1.377,"Auckland"
2013-06-30,1.389,"Bay of Plenty"
2013-06-30,1.563,"Canterbury"
2013-06-30,1.404,"Gisborne"
2013-06-30,1.384,"Hawke's Bay"
2013-06-30,1.373,"Manawatu-Whanganui"
2013-06-30,1.419,"Marlborough"
2013-06-30,1.422,"Nelson"
2013-06-30,1.362,"Northland"
2013-06-30,1.461,"Otago"
2013-06-30,1.446,"Southland"
2013-06-30,1.476,"Taranaki"
2013-06-30,1.42,"Tasman"
2013-06-30,1.365,"Waikato"
2013-06-30,1.402,"Wellington"
2013-06-30,1.699,"West Coast"
2013-09-30,1.43,"New Zealand"
2013-09-30,1.389,"Auckland"
2013-09-30,1.403,"Bay of Plenty"
2013-09-30,1.575,"Canterbury"
2013-09-30,1.414,"Gisborne"
2013-09-30,1.396,"Hawke's Bay"
2013-09-30,1.382,"Manawatu-Whanganui"
2013-09-30,1.428,"Marlborough"
2013-09-30,1.43,"Nelson"
2013-09-30,1.376,"Northland"
2013-09-30,1.472,"Otago"
2013-09-30,1.453,"Southland"
2013-09-30,1.483,"Taranaki"
2013-09-30,1.428,"Tasman"
2013-09-30,1.374,"Waikato"
2013-09-30,1.414,"Wellington"
2013-09-30,1.682,"West Coast"
2013-12-31,1.446,"New Zealand"
2013-12-31,1.407,"Auckland"
2013-12-31,1.419,"Bay of Plenty"
2013-12-31,1.594,"Canterbury"
2013-12-31,1.429,"Gisborne"
2013-12-31,1.409,"Hawke's Bay"
2013-12-31,1.397,"Manawatu-Whanganui"
2013-12-31,1.436,"Marlborough"
2013-12-31,1.444,"Nelson"
2013-12-31,1.396,"Northland"
2013-12-31,1.487,"Otago"
2013-12-31,1.463,"Southland"
2013-12-31,1.505,"Taranaki"
2013-12-31,1.439,"Tasman"
2013-12-31,1.389,"Waikato"
2013-12-31,1.427,"Wellington"
2013-12-31,1.68,"West Coast"
2014-03-31,1.454,"New Zealand"
2014-03-31,1.415,"Auckland"
2014-03-31,1.427,"Bay of Plenty"
2014-03-31,1.605,"Canterbury"
2014-03-31,1.435,"Gisborne"
2014-03-31,1.41,"Hawke's Bay"
2014-03-31,1.404,"Manawatu-Whanganui"
2014-03-31,1.444,"Marlborough"
2014-03-31,1.45,"Nelson"
2014-03-31,1.406,"Northland"
2014-03-31,1.498,"Otago"
2014-03-31,1.465,"Southland"
2014-03-31,1.514,"Taranaki"
2014-03-31,1.446,"Tasman"
2014-03-31,1.398,"Waikato"
2014-03-31,1.437,"Wellington"
2014-03-31,1.682,"West Coast"
2014-06-30,1.468,"New Zealand"
2014-06-30,1.43,"Auckland"
2014-06-30,1.442,"Bay of Plenty"
2014-06-30,1.622,"Canterbury"
2014-06-30,1.448,"Gisborne"
2014-06-30,1.422,"Hawke's Bay"
2014-06-30,1.415,"Manawatu-Whanganui"
2014-06-30,1.459,"Marlborough"
2014-06-30,1.457,"Nelson"
2014-06-30,1.423,"Northland"
2014-06-30,1.512,"Otago"
2014-06-30,1.476,"Southland"
2014-06-30,1.525,"Taranaki"
2014-06-30,1.453,"Tasman"
2014-06-30,1.41,"Waikato"
2014-06-30,1.45,"Wellington"
2014-06-30,1.689,"West Coast"
2014-09-30,1.485,"New Zealand"
2014-09-30,1.448,"Auckland"
2014-09-30,1.457,"Bay of Plenty"
2014-09-30,1.642,"Canterbury"
2014-09-30,1.466,"Gisborne"
