"area","unit","inc_type","tenure","vintage","inc_freq","level","series","date","value","source"
"Whakatane District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,59437.5358166189,"LEED extrapolated"
"Kawerau District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,40880.2729456992,"LEED extrapolated"
"Opotiki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,47466.3644657863,"LEED extrapolated"
"Gisborne District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,56660.362533098,"LEED extrapolated"
"Wairoa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,48361.6366366366,"LEED extrapolated"
"Hastings District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,63772.8671068923,"LEED extrapolated"
"Napier City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,58929.7407568508,"LEED extrapolated"
"Central Hawke's Bay District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,60653.6544229515,"LEED extrapolated"
"New Plymouth District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,62810.1282874925,"LEED extrapolated"
"Stratford District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,56789.655258955,"LEED extrapolated"
"South Taranaki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,55703.7105557628,"LEED extrapolated"
"Ruapehu District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,51994.3483580167,"LEED extrapolated"
"Whanganui District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,47656.4054054054,"LEED extrapolated"
"Rangitikei District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,55155.5125936011,"LEED extrapolated"
"Manawatu District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,65114.4525316456,"LEED extrapolated"
"Palmerston North City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,64982.2042168675,"LEED extrapolated"
"Tararua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,51838.1448118586,"LEED extrapolated"
"Horowhenua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,46693.5640186916,"LEED extrapolated"
"Kapiti Coast District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,62518.9988106565,"LEED extrapolated"
"Porirua City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,92297.143751304,"LEED extrapolated"
"Upper Hutt City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,80944.7170111288,"LEED extrapolated"
"Lower Hutt City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,76316.6626669247,"LEED extrapolated"
"Wellington City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,104934.256638575,"LEED extrapolated"
"Masterton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,55229.6855432781,"LEED extrapolated"
"Carterton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,61260.7836997557,"LEED extrapolated"
"South Wairarapa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,67780.5679367362,"LEED extrapolated"
"Tasman District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,62373.3464776252,"LEED extrapolated"
"Nelson City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,60585.0798479087,"LEED extrapolated"
"Marlborough District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,61816.5036991369,"LEED extrapolated"
"Kaikoura District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,65210.7036267036,"LEED extrapolated"
"Buller District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,41211.5831505046,"LEED extrapolated"
"Grey District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,53179.2183537935,"LEED extrapolated"
"Westland District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,58106.3003623961,"LEED extrapolated"
"Hurunui District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,63515.5912260967,"LEED extrapolated"
"Waimakariri District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,73996.3246753247,"LEED extrapolated"
"Christchurch City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,68657.2803451582,"LEED extrapolated"
"Selwyn District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,96748.7043346583,"LEED extrapolated"
"Ashburton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,68829.5294003115,"LEED extrapolated"
"Timaru District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,60198.9777510523,"LEED extrapolated"
"Mackenzie District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,65277.3203070482,"LEED extrapolated"
"Waimate District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,55911.6173984745,"LEED extrapolated"
"Waitaki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,53881.4933698169,"LEED extrapolated"
"Central Otago District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,65876.5188576412,"LEED extrapolated"
"Queenstown-Lakes District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,96084.9553629469,"LEED extrapolated"
"Dunedin City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,59064.4297793359,"LEED extrapolated"
"Clutha District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,59566.21935609,"LEED extrapolated"
"Southland District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,67282.008753568,"LEED extrapolated"
"Gore District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,58848.146859269,"LEED extrapolated"
"Invercargill City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-08-31,59210.657838983,"LEED extrapolated"
"New Zealand","Household","Disposable","All",2022-06-13,"annual","New Zealand","Median annual household disposable income for all",2020-09-30,72317.2662790698,"LEED extrapolated"
"Far North District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,49791.0504201681,"LEED extrapolated"
"Whangarei District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,59878.378460295,"LEED extrapolated"
"Kaipara District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,50963.5125,"LEED extrapolated"
"Thames-Coromandel District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,49619.8750623441,"LEED extrapolated"
"Hauraki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,51690.1892430279,"LEED extrapolated"
"Waikato District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,85416.8023255814,"LEED extrapolated"
"Matamata-Piako District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,65765.5704387991,"LEED extrapolated"
"Hamilton City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,70274.741929248,"LEED extrapolated"
"Waipa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,77080.1007556675,"LEED extrapolated"
"Otorohanga District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,64702.2690296339,"LEED extrapolated"
"South Waikato District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,55303.3567662566,"LEED extrapolated"
"Waitomo District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,54695.6399740989,"LEED extrapolated"
"Taupo District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,62888.3825205826,"LEED extrapolated"
"Western Bay of Plenty District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,70932.9865771812,"LEED extrapolated"
"Tauranga City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,66876.2484270347,"LEED extrapolated"
"Rotorua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,62977.74629708,"LEED extrapolated"
"Whakatane District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,59862.9415913599,"LEED extrapolated"
"Kawerau District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,41100.9572321,"LEED extrapolated"
"Opotiki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,47582.8379351741,"LEED extrapolated"
"Gisborne District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,57041.9761694616,"LEED extrapolated"
"Wairoa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,48569.5738045738,"LEED extrapolated"
"Hastings District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,64087.7259595543,"LEED extrapolated"
"Napier City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,59226.4704219226,"LEED extrapolated"
"Central Hawke's Bay District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,60913.7278852423,"LEED extrapolated"
"New Plymouth District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,63094.9116643244,"LEED extrapolated"
"Stratford District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,57118.6064339493,"LEED extrapolated"
"South Taranaki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,55896.3804550541,"LEED extrapolated"
"Ruapehu District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,52433.9420476497,"LEED extrapolated"
"Whanganui District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,47961.6891891892,"LEED extrapolated"
"Rangitikei District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,55694.312457454,"LEED extrapolated"
"Manawatu District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,65315.6170886076,"LEED extrapolated"
"Palmerston North City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,65370.1927710843,"LEED extrapolated"
"Tararua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,52075.2041049031,"LEED extrapolated"
"Horowhenua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,47046.591588785,"LEED extrapolated"
"Kapiti Coast District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,62863.8946241675,"LEED extrapolated"
"Porirua City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,92933.0986855831,"LEED extrapolated"
"Upper Hutt City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,81458.8330683625,"LEED extrapolated"
"Lower Hutt City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,76704.1974066189,"LEED extrapolated"
"Wellington City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,105675.146923199,"LEED extrapolated"
"Masterton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,55410.7285911602,"LEED extrapolated"
"Carterton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,61646.4070619587,"LEED extrapolated"
"South Wairarapa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,68045.5082674335,"LEED extrapolated"
"Tasman District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,62601.6074435091,"LEED extrapolated"
"Nelson City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,60934.072243346,"LEED extrapolated"
"Marlborough District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,62084.2083847102,"LEED extrapolated"
"Kaikoura District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,65509.5329175329,"LEED extrapolated"
"Buller District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,41467.3150504607,"LEED extrapolated"
"Grey District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,53452.4218152546,"LEED extrapolated"
"Westland District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,58478.7998294607,"LEED extrapolated"
"Hurunui District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,63769.2580427447,"LEED extrapolated"
"Waimakariri District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,74308.7337662338,"LEED extrapolated"
"Christchurch City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,68965.4922339405,"LEED extrapolated"
"Selwyn District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,97082.6132879046,"LEED extrapolated"
"Ashburton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,69187.7832943925,"LEED extrapolated"
"Timaru District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,60546.0709561034,"LEED extrapolated"
"Mackenzie District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,65617.306350314,"LEED extrapolated"
"Waimate District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,56283.3147804576,"LEED extrapolated"
"Waitaki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,54128.7960429383,"LEED extrapolated"
"Central Otago District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,66118.3309352518,"LEED extrapolated"
"Queenstown-Lakes District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,96499.5893824485,"LEED extrapolated"
"Dunedin City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,59346.2363373891,"LEED extrapolated"
"Clutha District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,59920.1869666408,"LEED extrapolated"
"Southland District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,67622.4097050428,"LEED extrapolated"
"Gore District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,59153.3164806303,"LEED extrapolated"
"Invercargill City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-09-30,59548.9194915254,"LEED extrapolated"
"Northland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-09-30,54881.4234196012,"LEED extrapolated"
"Auckland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-09-30,88850.1213343109,"LEED extrapolated"
"Waikato Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-09-30,67147.7344032096,"LEED extrapolated"
"Bay of Plenty Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-09-30,64236.602647615,"LEED extrapolated"
"Gisborne Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-09-30,57008.6312886143,"LEED extrapolated"
"Hawke's Bay Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-09-30,60927.6985605419,"LEED extrapolated"
"Taranaki Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-09-30,60553.6558287074,"LEED extrapolated"
"Manawatu-Whanganui Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-09-30,56295.5559329229,"LEED extrapolated"
"Wellington Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-09-30,84887.2733582488,"LEED extrapolated"
"Tasman Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-09-30,62564.2556490917,"LEED extrapolated"
"Nelson Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-09-30,60875.9068441065,"LEED extrapolated"
"Marlborough Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-09-30,62049.2903822441,"LEED extrapolated"
"West Coast Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-09-30,50926.7366451881,"LEED extrapolated"
"Canterbury Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-09-30,70613.2901342674,"LEED extrapolated"
"Otago Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-09-30,64027.6363636364,"LEED extrapolated"
"Southland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-09-30,62267.6543209877,"LEED extrapolated"
"Northland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-10-31,54895.4497242257,"LEED extrapolated"
"Auckland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-10-31,88905.0225439883,"LEED extrapolated"
"Waikato Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-10-31,67172.0280842528,"LEED extrapolated"
"Bay of Plenty Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-10-31,64265.0115570498,"LEED extrapolated"
"Gisborne Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-10-31,56975.286407767,"LEED extrapolated"
"Hawke's Bay Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-10-31,60889.1464860288,"LEED extrapolated"
"Taranaki Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-10-31,60498.8065027756,"LEED extrapolated"
"Manawatu-Whanganui Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-10-31,56352.4848227553,"LEED extrapolated"
"Wellington Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-10-31,84864.4872753159,"LEED extrapolated"
"West Coast Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-10-31,50973.9347329038,"LEED extrapolated"
"Canterbury Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-10-31,70570.9102938315,"LEED extrapolated"
"Otago Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-10-31,63958.6060606061,"LEED extrapolated"
"Southland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-10-31,62286.7489711934,"LEED extrapolated"
"Tasman Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-10-31,62381.6468763846,"LEED extrapolated"
"Nelson Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-10-31,60782.8422053232,"LEED extrapolated"
"Marlborough Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2020-10-31,61929.0172626387,"LEED extrapolated"
"New Zealand","Household","Disposable","All",2022-06-13,"annual","New Zealand","Median annual household disposable income for all",2020-10-31,72325.7751937984,"LEED extrapolated"
"Far North District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,49843.2422969188,"LEED extrapolated"
"Whangarei District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,59820.1557890483,"LEED extrapolated"
"Kaipara District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,51126.6375,"LEED extrapolated"
"Thames-Coromandel District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,49641.874563591,"LEED extrapolated"
"Hauraki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,51757.5863213811,"LEED extrapolated"
"Waikato District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,85426.8720930233,"LEED extrapolated"
"Matamata-Piako District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,65754.0508083141,"LEED extrapolated"
"Hamilton City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,70282.92673497,"LEED extrapolated"
"Waipa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,77211.5869017632,"LEED extrapolated"
"Otorohanga District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,64618.3639356963,"LEED extrapolated"
"South Waikato District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,55293.6731107206,"LEED extrapolated"
"Waitomo District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,54841.9231599396,"LEED extrapolated"
"Taupo District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,62860.1416508339,"LEED extrapolated"
"Western Bay of Plenty District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,71028.4228187919,"LEED extrapolated"
"Tauranga City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,66917.3322508626,"LEED extrapolated"
"Rotorua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,63041.8580194668,"LEED extrapolated"
"Whakatane District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,59811.2567776064,"LEED extrapolated"
"Kawerau District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,40987.6328688131,"LEED extrapolated"
"Opotiki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,47671.9058823529,"LEED extrapolated"
"Gisborne District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,57008.6312886143,"LEED extrapolated"
"Wairoa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,48524.0875490875,"LEED extrapolated"
"Hastings District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,64000.0437474206,"LEED extrapolated"
"Napier City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,59280.4212701174,"LEED extrapolated"
"Central Hawke's Bay District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,60740.3455770485,"LEED extrapolated"
"New Plymouth District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,62994.8526400321,"LEED extrapolated"
"Stratford District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,57233.5411818389,"LEED extrapolated"
"South Taranaki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,55934.2827303245,"LEED extrapolated"
"Ruapehu District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,52500.0463618802,"LEED extrapolated"
"Whanganui District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,47929.5540540541,"LEED extrapolated"
"Rangitikei District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,55774.9491717722,"LEED extrapolated"
"Manawatu District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,65424.5812236287,"LEED extrapolated"
"Palmerston North City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,65491.6841365462,"LEED extrapolated"
"Tararua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,51986.7491448119,"LEED extrapolated"
"Horowhenua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2020-10-31,47020.6813084112,"LEED extrapolated"
