"area","date","dwellings_adj","year","pop","ppd","index","index_pop","index_dwel"
"Canterbury",2013-06-30,235590.748107776,2013,562900,2.38931284238076,0.977459055925203,1.04240740740741,1.0664461095209
"Gisborne",2013-06-30,17968.0746283441,2013,47000,2.61575048925159,0.982872002785558,1.02173913043478,1.03954444478942
"Hawke's Bay",2013-06-30,64060.4225541835,2013,158000,2.46642144557134,0.976194311513225,1.0387902695595,1.06412243680179
"Manawatu-Whanganui",2013-06-30,99077.1714852096,2013,231200,2.33353452197123,0.963929468704996,1.00784655623365,1.04556047818276
"Marlborough",2013-06-30,21956.3483791894,2013,44700,2.03585765847874,0.952953615531701,1.02522935779817,1.07584392470785
"Nelson",2013-06-30,20090.0151303519,2013,48700,2.42408976220353,1.00916546033563,1.09932279909707,1.08933851018984
"Northland",2013-06-30,73645.6147250885,2013,164700,2.23638570490325,0.981372128018949,1.07858546168959,1.09905858429756
"Otago",2013-06-30,93581.0526087924,2013,208800,2.23122089546129,0.978557518305868,1.04504504504505,1.06794442380279
"Southland",2013-06-30,42512.1328465798,2013,96000,2.25817886734712,0.981932809101295,1.03004291845494,1.04899531710084
"Taranaki",2013-06-30,47160.2960720655,2013,113600,2.40880591221073,0.983510526460406,1.05871388630009,1.0764642144811
"Tasman",2013-06-30,21359.9624458256,2013,48800,2.28464821152047,0.991872150957829,1.06550218340611,1.07423339023803
"Waikato",2013-06-30,181653.237485722,2013,424600,2.33742049344634,0.990489055336416,1.07985757884028,1.09022666431535
"Wellington",2013-06-30,192577.03699405,2013,486700,2.52730028250999,0.989994701577782,1.04374865966116,1.05429721795249
"West Coast",2013-06-30,16350.2920845212,2013,33000,2.01831256771499,0.951489638628117,1.02803738317757,1.08045042367442
"Auckland",2014-06-30,510414.900214682,2014,1520400,2.9787531660234,1.02929813068367,1.10735615440641,1.07583616582583
"Bay of Plenty",2014-06-30,118077.349269571,2014,286100,2.42298799701908,0.993500049470842,1.07840180927252,1.08545722755313
"Canterbury",2014-06-30,237843.9102935,2014,570600,2.39905238396005,0.981443466400205,1.05666666666667,1.07664547459098
"Gisborne",2014-06-30,18077.9782438586,2014,47500,2.62750620446932,0.987289229660871,1.03260869565217,1.04590292756143
"Hawke's Bay",2014-06-30,64479.858415134,2014,160800,2.49380200193273,0.987031365907983,1.05719921104536,1.07108978251449
"Manawatu-Whanganui",2014-06-30,99668.628334546,2014,234200,2.3497865267483,0.970642798284076,1.02092414995641,1.05180211686649
"Marlborough",2014-06-30,22155.2775250643,2014,45400,2.04917315744021,0.959186395522529,1.04128440366972,1.0855912975105
"Nelson",2014-06-30,20368.386839912,2014,49600,2.43514620916412,1.01376833625245,1.1196388261851,1.10443262641642
"Northland",2014-06-30,74613.5512023903,2014,168200,2.25428219525104,0.989225476740583,1.10150622134905,1.11350369278642
"Otago",2014-06-30,94794.2448116343,2014,212500,2.24169727204704,0.983152194293997,1.06356356356356,1.08178934018177
"Southland",2014-06-30,42816.7685588816,2014,96800,2.26079648834033,0.983071039545388,1.03862660944206,1.05651226377533
"Taranaki",2014-06-30,47570.2526358204,2014,115000,2.41747717592328,0.987050985696149,1.071761416589,1.08582173780325
"Tasman",2014-06-30,21697.7379659737,2014,49700,2.29056135150767,0.994439320313897,1.08515283842795,1.0912207675833
"Waikato",2014-06-30,183867.35007471,2014,432400,2.35169539248978,0.996538087296307,1.09969481180061,1.10351508469102
"Wellington",2014-06-30,194041.299898729,2014,493800,2.54481906819691,0.996857164708164,1.05897490885696,1.06231358548442
"West Coast",2014-06-30,16478.653252287,2014,32900,1.9965223793658,0.941217127437504,1.02492211838006,1.0889327111699
"Auckland",2015-06-30,516118.238854749,2015,1552800,3.00861291677197,1.03961606705341,1.13095411507647,1.08785748019646
"Bay of Plenty",2015-06-30,119603.715372058,2015,293200,2.45142886312458,1.00516168457492,1.10516396532228,1.09948875119494
"Canterbury",2015-06-30,241872.187656912,2015,585600,2.42111342222883,0.990468555646137,1.08444444444444,1.09488023447347
"Gisborne",2015-06-30,18189.0652155933,2015,48100,2.64444595859519,0.99365436660065,1.04565217391304,1.05232987350549
"Hawke's Bay",2015-06-30,64891.4512158103,2015,163700,2.52267435745243,0.998458865157525,1.07626561472715,1.07792684534616
