"area","date","dwellings","ann.change"
"Northland",2014-10-31,74967,0.0134373352439403
"Otago",2014-10-31,95248,0.0136108716704446
"Southland",2014-10-31,42899,0.00600332997209385
"Taranaki",2014-10-31,47722,0.00907110988941273
"Tasman",2014-10-31,21792,0.0147613504074504
"Waikato",2014-10-31,184689,0.0126825898144494
"Wellington",2014-10-31,194620,0.00822139219718898
"West Coast",2014-10-31,16521,0.0066414818425542
"Auckland",2014-11-30,512680,0.00964786000263884
"Bay of Plenty",2014-11-30,118705,0.011848442228189
"Canterbury",2014-11-30,239433,0.0124359386364021
"Gisborne",2014-11-30,18122,0.00655409908909133
"Hawke's Bay",2014-11-30,64647,0.00610069255310863
"Manawatu-Whanganui",2014-11-30,99893,0.00539468784282948
"Marlborough",2014-11-30,22233,0.00875680580762261
"Nelson",2014-11-30,20482,0.0136091453456724
"Northland",2014-11-30,75054,0.0135036594917222
"Otago",2014-11-30,95363,0.0133572779631479
"Southland",2014-11-30,42924,0.00588193939962034
"Taranaki",2014-11-30,47761,0.00904231719941695
"Tasman",2014-11-30,21818,0.0141774740854368
"Waikato",2014-11-30,184934,0.0129928462659261
"Wellington",2014-11-30,194839,0.00876016712659267
"West Coast",2014-11-30,16534,0.00700408063828495
"Auckland",2014-12-31,513280,0.0101530934560863
"Bay of Plenty",2014-12-31,118809,0.0119586048294367
"Canterbury",2014-12-31,239790,0.0135769175493918
"Gisborne",2014-12-31,18133,0.00627081021087683
"Hawke's Bay",2014-12-31,64694,0.0064092592016427
"Manawatu-Whanganui",2014-12-31,99934,0.00532166390020627
"Marlborough",2014-12-31,22253,0.00902330642967253
"Nelson",2014-12-31,20498,0.0134480371798675
"Northland",2014-12-31,75138,0.0134610196924736
"Otago",2014-12-31,95466,0.0134287321790638
"Southland",2014-12-31,42942,0.00557324840764339
"Taranaki",2014-12-31,47797,0.00920588670002753
"Tasman",2014-12-31,21840,0.0139746506337342
"Waikato",2014-12-31,185153,0.0133099096436644
"Wellington",2014-12-31,194955,0.00870793493108168
"West Coast",2014-12-31,16549,0.00767216708274976
"Auckland",2015-01-31,513620,0.0102615444834118
"Bay of Plenty",2015-01-31,118928,0.0120670581227129
"Canterbury",2015-01-31,240091,0.014094798820717
"Gisborne",2015-01-31,18139,0.00638038171327127
"Hawke's Bay",2015-01-31,64725,0.00643746792928113
"Manawatu-Whanganui",2015-01-31,99962,0.00527972485091066
"Marlborough",2015-01-31,22269,0.00929115300942707
"Nelson",2015-01-31,20523,0.0134814814814814
"Northland",2015-01-31,75229,0.0135537501852525
"Otago",2015-01-31,95568,0.0136614340263046
"Southland",2015-01-31,42962,0.00578251199812718
"Taranaki",2015-01-31,47833,0.00917760243048238
"Tasman",2015-01-31,21858,0.0137278545589463
"Waikato",2015-01-31,185309,0.0134814377283368
"Wellington",2015-01-31,195092,0.00887912087912079
"West Coast",2015-01-31,16558,0.00791331872412959
"Auckland",2015-02-28,513989,0.0102322601187539
"Bay of Plenty",2015-02-28,119058,0.012208600431892
"Canterbury",2015-02-28,240400,0.0145557520331208
"Gisborne",2015-02-28,18145,0.00598769196651339
"Hawke's Bay",2015-02-28,64757,0.00655941555918238
"Manawatu-Whanganui",2015-02-28,100007,0.00535818404809296
"Marlborough",2015-02-28,22281,0.00882912252105417
"Nelson",2015-02-28,20546,0.0130164678039641
"Northland",2015-02-28,75326,0.0138634650586842
"Otago",2015-02-28,95674,0.0138931572756271
"Southland",2015-02-28,42980,0.00580361321726097
"Taranaki",2015-02-28,47880,0.00944510035419133
"Tasman",2015-02-28,21878,0.0136681647593013
"Waikato",2015-02-28,185516,0.0135160236448466
"Wellington",2015-02-28,195216,0.00904030144675838
"West Coast",2015-02-28,16567,0.00772506082725055
"Auckland",2015-03-31,514452,0.0105424437962227
"Bay of Plenty",2015-03-31,119196,0.0126328488051042
"Canterbury",2015-03-31,240776,0.0151315206988578
"Gisborne",2015-03-31,18153,0.00604078918199957
"Hawke's Bay",2015-03-31,64791,0.00664978326056898
"Manawatu-Whanganui",2015-03-31,100047,0.00532572324326508
"Marlborough",2015-03-31,22302,0.008912010857272
"Nelson",2015-03-31,20561,0.012907039755653
"Northland",2015-03-31,75413,0.0139017733500046
"Otago",2015-03-31,95807,0.014485540931183
"Southland",2015-03-31,43002,0.00584767964071853
"Taranaki",2015-03-31,47921,0.00964962181067364
"Tasman",2015-03-31,21900,0.0130915483184531
"Waikato",2015-03-31,185762,0.013840830449827
"Wellington",2015-03-31,195334,0.00912340882790552
"West Coast",2015-03-31,16574,0.00741551179187949
"Auckland",2015-04-30,515045,0.0110340305914129
"Bay of Plenty",2015-04-30,119303,0.012483875347953
"Canterbury",2015-04-30,241106,0.0156963518409301
"Gisborne",2015-04-30,18161,0.00553679198272516
"Hawke's Bay",2015-04-30,64820,0.00666242176701703
"Manawatu-Whanganui",2015-04-30,100097,0.00538363415393572
"Marlborough",2015-04-30,22315,0.00863315856083902
"Nelson",2015-04-30,20584,0.0124938514510575
"Northland",2015-04-30,75477,0.0136719536926362
"Otago",2015-04-30,95913,0.0142225700025378
"Southland",2015-04-30,43024,0.00589170485364265
"Taranaki",2015-04-30,47965,0.00985325388971936
"Tasman",2015-04-30,21917,0.012800369685767
"Waikato",2015-04-30,186037,0.0141351039009181
"Wellington",2015-04-30,195492,0.00867339831072544
"West Coast",2015-04-30,16588,0.00765399100959785
"Auckland",2015-05-31,515555,0.0109853260986796
"Bay of Plenty",2015-05-31,119452,0.0127427956150539
"Canterbury",2015-05-31,241481,0.0160690392237717
"Gisborne",2015-05-31,18179,0.00597642631841078
"Hawke's Bay",2015-05-31,64859,0.00664276512858719
"Manawatu-Whanganui",2015-05-31,100155,0.00525940721261464
"Marlborough",2015-05-31,22337,0.0087612337984917
"Nelson",2015-05-31,20615,0.0129225628930818
"Northland",2015-05-31,75555,0.013603251901638
"Otago",2015-05-31,96071,0.014638010244495
"Southland",2015-05-31,43047,0.00595905776780703
"Taranaki",2015-05-31,48007,0.0098870353619287
"Tasman",2015-05-31,21954,0.0130589266762031
"Waikato",2015-05-31,186245,0.013865148232425
"Wellington",2015-05-31,195624,0.00876632082671569
"West Coast",2015-05-31,16597,0.00752746919201108
"Auckland",2015-06-30,516054,0.011150886721804
"Bay of Plenty",2015-06-30,119585,0.0128742641765129
"Canterbury",2015-06-30,241873,0.0170123661316839
"Gisborne",2015-06-30,18190,0.00619537559464534
"Hawke's Bay",2015-06-30,64891,0.00637406947890828
"Manawatu-Whanganui",2015-06-30,100179,0.00512702171208401
"Marlborough",2015-06-30,22352,0.00889189799142409
"Nelson",2015-06-30,20626,0.012567501227295
"Northland",2015-06-30,75635,0.0137652798627492
"Otago",2015-06-30,96207,0.0149702493986581
"Southland",2015-06-30,43069,0.00588551276362193
"Taranaki",2015-06-30,48033,0.00975425171855626
"Tasman",2015-06-30,21978,0.0129044151534703
"Waikato",2015-06-30,186478,0.0142721942410826
"Wellington",2015-06-30,195752,0.00884891900945695
"West Coast",2015-06-30,16601,0.00740336185448154
"Auckland",2015-07-31,516793,0.011689003214427
"Bay of Plenty",2015-07-31,119727,0.0127988224744955
"Canterbury",2015-07-31,242251,0.0173483957668403
"Gisborne",2015-07-31,18197,0.00591487009397462
"Hawke's Bay",2015-07-31,64924,0.00632401264802529
"Manawatu-Whanganui",2015-07-31,100211,0.00497417640274778
"Marlborough",2015-07-31,22369,0.00870310245310235
"Nelson",2015-07-31,20637,0.012461364862876
"Northland",2015-07-31,75724,0.0136131821649912
"Otago",2015-07-31,96352,0.0155571482777521
"Southland",2015-07-31,43088,0.00588290223176768
"Taranaki",2015-07-31,48066,0.00968385673773753
"Tasman",2015-07-31,22013,0.0136765518511697
"Waikato",2015-07-31,186704,0.0144089713776541
"Wellington",2015-07-31,195881,0.00859370172800866
"West Coast",2015-07-31,16606,0.00679034800533529
"Auckland",2015-08-31,517382,0.0120337225906149
"Bay of Plenty",2015-08-31,119882,0.0129617737519856
"Canterbury",2015-08-31,242564,0.0175774203562469
"Gisborne",2015-08-31,18206,0.00596751022212394
"Hawke's Bay",2015-08-31,64959,0.00646090917542064
"Manawatu-Whanganui",2015-08-31,100263,0.00513278062375311
"Marlborough",2015-08-31,22385,0.00878774222622813
"Nelson",2015-08-31,20654,0.0113602977181471
"Northland",2015-08-31,75824,0.0138931603931269
"Otago",2015-08-31,96460,0.0153684210526315
"Southland",2015-08-31,43113,0.00611420970339083
"Taranaki",2015-08-31,48106,0.00978169605373647
"Tasman",2015-08-31,22030,0.0137124976992453
"Waikato",2015-08-31,186918,0.0143647128414128
"Wellington",2015-08-31,196009,0.00861399130367668
"West Coast",2015-08-31,16617,0.00684682501211831
"Auckland",2015-09-30,517820,0.012108477889079
"Bay of Plenty",2015-09-30,120015,0.0130754815727718
"Canterbury",2015-09-30,242913,0.0174366492146596
"Gisborne",2015-09-30,18211,0.00591029606716753
"Hawke's Bay",2015-09-30,64992,0.00639526781151778
"Manawatu-Whanganui",2015-09-30,100312,0.00512018917646118
"Marlborough",2015-09-30,22407,0.00886987843313825
"Nelson",2015-09-30,20690,0.0126272513703993
"Northland",2015-09-30,75898,0.01364923339922
"Otago",2015-09-30,96597,0.0154957265855786
"Southland",2015-09-30,43143,0.00632114200410516
"Taranaki",2015-09-30,48146,0.00981584798020041
"Tasman",2015-09-30,22055,0.0135104085290199
"Waikato",2015-09-30,187097,0.0141638299256304
"Wellington",2015-09-30,196209,0.00908235318319517
"West Coast",2015-09-30,16621,0.00654030158057295
"Auckland",2015-10-31,518310,0.0123123557145814
"Bay of Plenty",2015-10-31,120152,0.0133166909836135
"Canterbury",2015-10-31,243359,0.0178083738671106
"Gisborne",2015-10-31,18222,0.00612887195626977
"Hawke's Bay",2015-10-31,65026,0.00639190255830879
"Manawatu-Whanganui",2015-10-31,100355,0.00511798405512609
"Marlborough",2015-10-31,22426,0.00913468028619002
"Nelson",2015-10-31,20707,0.0121712777397596
"Northland",2015-10-31,76012,0.0139394666986807
"Otago",2015-10-31,96747,0.0157378632622207
"Southland",2015-10-31,43162,0.00613067903680742
"Taranaki",2015-10-31,48207,0.0101630275344704
"Tasman",2015-10-31,22088,0.013582966226138
"Waikato",2015-10-31,187307,0.0141751809799175
"Wellington",2015-10-31,196328,0.00877607645668488
"West Coast",2015-10-31,16630,0.0065976635796865
"Auckland",2015-11-30,519162,0.0126433642818131
"Bay of Plenty",2015-11-30,120283,0.0132934585737754
"Canterbury",2015-11-30,243841,0.0184101606712526
"Gisborne",2015-11-30,18226,0.00573888091822106
"Hawke's Bay",2015-11-30,65066,0.006481352576299
"Manawatu-Whanganui",2015-11-30,100389,0.00496531288478663
"Marlborough",2015-11-30,22440,0.00931048441505866
"Nelson",2015-11-30,20717,0.011473488917098
"Northland",2015-11-30,76105,0.0140032509926187
"Otago",2015-11-30,96856,0.0156559671990184
"Southland",2015-11-30,43181,0.00598732643742439
"Taranaki",2015-11-30,48239,0.010008165658173
"Tasman",2015-11-30,22111,0.0134292785773216
"Waikato",2015-11-30,187505,0.0139022570214238
"Wellington",2015-11-30,196442,0.00822730562156448
"West Coast",2015-11-30,16639,0.00635055038103305
"Auckland",2015-12-31,519690,0.0124883104738154
"Bay of Plenty",2015-12-31,120422,0.013576412561338
"Canterbury",2015-12-31,244327,0.018920722298678
"Gisborne",2015-12-31,18233,0.00551480725748643
"Hawke's Bay",2015-12-31,65091,0.00613658144495632
"Manawatu-Whanganui",2015-12-31,100426,0.00492324934456745
"Marlborough",2015-12-31,22456,0.00912236552374956
"Nelson",2015-12-31,20731,0.0113669626305006
"Northland",2015-12-31,76193,0.0140408315366392
"Otago",2015-12-31,96964,0.0156914503592902
"Southland",2015-12-31,43207,0.00617111452657082
"Taranaki",2015-12-31,48294,0.0103981421428123
"Tasman",2015-12-31,22139,0.0136904761904761
"Waikato",2015-12-31,187713,0.0138264030288464
"Wellington",2015-12-31,196621,0.00854556179631194
"West Coast",2015-12-31,16647,0.00592180796422737
"Auckland",2016-01-31,520074,0.0125657100580197
"Bay of Plenty",2016-01-31,120577,0.0138655320866408
"Canterbury",2016-01-31,244569,0.0186512613967205
"Gisborne",2016-01-31,18240,0.00556811290589332
"Hawke's Bay",2016-01-31,65111,0.00596369254538431
"Manawatu-Whanganui",2016-01-31,100461,0.00499189692083002
"Marlborough",2016-01-31,22472,0.00911581121738747
"Nelson",2016-01-31,20739,0.0105247770793744
"Northland",2016-01-31,76265,0.0137712850097702
"Otago",2016-01-31,97071,0.0157270215971874
"Southland",2016-01-31,43229,0.00621479446953122
"Taranaki",2016-01-31,48345,0.010703907344302
"Tasman",2016-01-31,22169,0.0142282002012992
"Waikato",2016-01-31,187910,0.0140360155200232
"Wellington",2016-01-31,196748,0.00848830295450353
"West Coast",2016-01-31,16658,0.00603937673632071
"Auckland",2016-02-29,520503,0.0126734229720868
"Bay of Plenty",2016-02-29,120695,0.0137496010347897
"Canterbury",2016-02-29,244857,0.0185399334442595
"Gisborne",2016-02-29,18248,0.00567649490217681
"Hawke's Bay",2016-02-29,65148,0.00603795728647105
"Manawatu-Whanganui",2016-02-29,100501,0.00493965422420439
"Marlborough",2016-02-29,22490,0.00938018939903951
"Nelson",2016-02-29,20756,0.0102209675849314
"Northland",2016-02-29,76355,0.0136606218304436
"Otago",2016-02-29,97160,0.0155319104458891
"Southland",2016-02-29,43246,0.00618892508143332
"Taranaki",2016-02-29,48372,0.0102756892230575
"Tasman",2016-02-29,22192,0.0143523173964712
"Waikato",2016-02-29,188121,0.0140419155221112
"Wellington",2016-02-29,196861,0.00842656339644288
"West Coast",2016-02-29,16666,0.00597573489467007
"Auckland",2016-03-31,521151,0.0130216230085605
"Bay of Plenty",2016-03-31,120846,0.0138427464008859
"Canterbury",2016-03-31,245208,0.0184071502143071
"Gisborne",2016-03-31,18254,0.00556381865256439
"Hawke's Bay",2016-03-31,65185,0.00608109150962322
"Manawatu-Whanganui",2016-03-31,100545,0.00497766049956527
"Marlborough",2016-03-31,22507,0.00919200071742443
"Nelson",2016-03-31,20772,0.010262146782744
"Northland",2016-03-31,76452,0.0137774654237333
"Otago",2016-03-31,97270,0.0152702829647102
"Southland",2016-03-31,43275,0.00634854192828249
"Taranaki",2016-03-31,48403,0.0100582208217692
"Tasman",2016-03-31,22223,0.0147488584474886
"Waikato",2016-03-31,188355,0.0139587213746621
"Wellington",2016-03-31,197072,0.00889758055433254
"West Coast",2016-03-31,16676,0.00615421744901656
"Auckland",2016-04-30,521949,0.0134046539622752
"Bay of Plenty",2016-04-30,120981,0.0140650277025725
"Canterbury",2016-04-30,245412,0.0178593647607277
"Gisborne",2016-04-30,18256,0.00523098948295808
"Hawke's Bay",2016-04-30,65221,0.00618636223387847
"Manawatu-Whanganui",2016-04-30,100574,0.00476537758374374
"Marlborough",2016-04-30,22524,0.00936589737844495
"Nelson",2016-04-30,20792,0.0101049358725223
"Northland",2016-04-30,76528,0.0139247717847821
"Otago",2016-04-30,97388,0.0153785201171894
"Southland",2016-04-30,43293,0.00625232428412059
"Taranaki",2016-04-30,48438,0.00986135723965398
"Tasman",2016-04-30,22243,0.0148742984897567
"Waikato",2016-04-30,188591,0.0137284518671017
"Wellington",2016-04-30,197202,0.00874716100914608
"West Coast",2016-04-30,16684,0.00578731613214378
"Auckland",2016-05-31,522495,0.0134612214021783
"Bay of Plenty",2016-05-31,121142,0.0141479422696984
"Canterbury",2016-05-31,245727,0.0175831638928114
"Gisborne",2016-05-31,18262,0.00456570768469122
"Hawke's Bay",2016-05-31,65255,0.00610555204366392
"Manawatu-Whanganui",2016-05-31,100617,0.00461285008237233
"Marlborough",2016-05-31,22552,0.00962528540090424
"Nelson",2016-05-31,20803,0.00911957312636424
"Northland",2016-05-31,76618,0.014069221097214
"Otago",2016-05-31,97546,0.015353228341539
"Southland",2016-05-31,43311,0.00613283155620592
"Taranaki",2016-05-31,48486,0.0099777115837274
"Tasman",2016-05-31,22276,0.0146670310649539
"Waikato",2016-05-31,188859,0.014035276114795
"Wellington",2016-05-31,197361,0.0088792786161207
"West Coast",2016-05-31,16692,0.00572392601072491
"Auckland",2016-06-30,523092,0.0136381076398981
"Bay of Plenty",2016-06-30,121305,0.0143830748003513
"Canterbury",2016-06-30,246036,0.0172115118264544
"Gisborne",2016-06-30,18269,0.00434304562946664
"Hawke's Bay",2016-06-30,65277,0.00594843660908295
"Manawatu-Whanganui",2016-06-30,100649,0.00469160203236196
"Marlborough",2016-06-30,22567,0.00961882605583386
"Nelson",2016-06-30,20816,0.00921167458547467
"Northland",2016-06-30,76703,0.0141204468830567
"Otago",2016-06-30,97687,0.0153834960034094
"Southland",2016-06-30,43325,0.00594395040516371
"Taranaki",2016-06-30,48529,0.0103262340474257
"Tasman",2016-06-30,22309,0.015060515060515
"Waikato",2016-06-30,189082,0.0139641137292335
"Wellington",2016-06-30,197460,0.00872532592259589
"West Coast",2016-06-30,16701,0.00602373351002949
"Auckland",2016-07-31,524081,0.0141023581975761
"Bay of Plenty",2016-07-31,121501,0.0148170421041203
"Canterbury",2016-07-31,246443,0.0173043661326475
"Gisborne",2016-07-31,18280,0.00456119140517663
"Hawke's Bay",2016-07-31,65310,0.00594541309839203
"Manawatu-Whanganui",2016-07-31,100703,0.0049096406582112
"Marlborough",2016-07-31,22587,0.00974563011310292
"Nelson",2016-07-31,20830,0.00935213451567574
"Northland",2016-07-31,76816,0.0144207912947019
"Otago",2016-07-31,97853,0.0155782962470941
"Southland",2016-07-31,43353,0.00615020423319712
"Taranaki",2016-07-31,48577,0.0106312154121417
"Tasman",2016-07-31,22343,0.0149911415981465
"Waikato",2016-07-31,189391,0.014391764504242
"Wellington",2016-07-31,197576,0.00865321292008914
"West Coast",2016-07-31,16711,0.00632301577742989
"Auckland",2016-08-31,524713,0.0141694144751847
"Bay of Plenty",2016-08-31,121659,0.0148229091940408
"Canterbury",2016-08-31,246798,0.0174551870846458
"Gisborne",2016-08-31,18288,0.00450400966714271
"Hawke's Bay",2016-08-31,65337,0.00581905509629155
"Manawatu-Whanganui",2016-08-31,100752,0.00487717303491819
"Marlborough",2016-08-31,22615,0.0102747375474648
"Nelson",2016-08-31,20854,0.0096833543139343
"Northland",2016-08-31,76933,0.0146259759442919
"Otago",2016-08-31,97972,0.0156748911465892
"Southland",2016-08-31,43389,0.00640178136524949
"Taranaki",2016-08-31,48606,0.0103937138818442
"Tasman",2016-08-31,22385,0.016114389468906
"Waikato",2016-08-31,189640,0.0145625354433494
"Wellington",2016-08-31,197733,0.00879551449168159
"West Coast",2016-08-31,16720,0.00619847144490593
"Auckland",2016-09-30,525249,0.0143466841759685
"Bay of Plenty",2016-09-30,121862,0.0153897429487981
"Canterbury",2016-09-30,247089,0.0171913401094219
"Gisborne",2016-09-30,18298,0.00477733238152767
"Hawke's Bay",2016-09-30,65372,0.00584687346134904
"Manawatu-Whanganui",2016-09-30,100796,0.00482494616795592
"Marlborough",2016-09-30,22636,0.0102200205292988
"Nelson",2016-09-30,20875,0.00894151764137274
"Northland",2016-09-30,77056,0.0152573190334395
"Otago",2016-09-30,98102,0.015580194001884
"Southland",2016-09-30,43433,0.00672183204691379
"Taranaki",2016-09-30,48649,0.01044738919121
"Tasman",2016-09-30,22411,0.0161414645205169
"Waikato",2016-09-30,189972,0.015366360764737
"Wellington",2016-09-30,197869,0.00846036624211943
"West Coast",2016-09-30,16723,0.00613681487275142
"Auckland",2016-10-31,525942,0.0147247786073972
"Bay of Plenty",2016-10-31,122082,0.0160629868832811
"Canterbury",2016-10-31,247345,0.0163790942599205
"Gisborne",2016-10-31,18309,0.00477444846888386
"Hawke's Bay",2016-10-31,65411,0.00592070863962113
"Manawatu-Whanganui",2016-10-31,100854,0.00497234816401781
"Marlborough",2016-10-31,22651,0.0100329974137163
"Nelson",2016-10-31,20887,0.00869271260926263
"Northland",2016-10-31,77168,0.0152081250328895
"Otago",2016-10-31,98253,0.0155663741511365
"Southland",2016-10-31,43453,0.00674204161067604
"Taranaki",2016-10-31,48722,0.0106830958159603
"Tasman",2016-10-31,22437,0.0158004346251359
"Waikato",2016-10-31,190246,0.0156908177484023
"Wellington",2016-10-31,198005,0.00854182796137071
"West Coast",2016-10-31,16728,0.00589296452194832
"Auckland",2016-11-30,526790,0.014692908957127
"Bay of Plenty",2016-11-30,122323,0.0169600026603927
"Canterbury",2016-11-30,247677,0.0157315627806645
"Gisborne",2016-11-30,18320,0.00515746735432887
"Hawke's Bay",2016-11-30,65448,0.00587096179264135
"Manawatu-Whanganui",2016-11-30,100902,0.00511012162687141
"Marlborough",2016-11-30,22668,0.0101604278074867
"Nelson",2016-11-30,20903,0.00897813389969593
"Northland",2016-11-30,77287,0.0155311740358715
"Otago",2016-11-30,98413,0.0160754109193029
"Southland",2016-11-30,43479,0.00690118339084322
"Taranaki",2016-11-30,48764,0.0108833101847052
"Tasman",2016-11-30,22469,0.0161910361358599
"Waikato",2016-11-30,190543,0.0162022346070771
"Wellington",2016-11-30,198336,0.00964152268863083
"West Coast",2016-11-30,16729,0.00540897890498226
"Auckland",2016-12-31,527619,0.0152571725451711
"Bay of Plenty",2016-12-31,122515,0.0173805450831244
"Canterbury",2016-12-31,248000,0.0150331318274279
"Gisborne",2016-12-31,18323,0.00493610486480556
"Hawke's Bay",2016-12-31,65484,0.00603770106466328
"Manawatu-Whanganui",2016-12-31,100969,0.00540696632346216
"Marlborough",2016-12-31,22683,0.0101086569291058
"Nelson",2016-12-31,20915,0.00887559693213058
"Northland",2016-12-31,77396,0.0157888519942777
"Otago",2016-12-31,98551,0.0163668990553194
"Southland",2016-12-31,43499,0.00675816418635877
"Taranaki",2016-12-31,48799,0.010456785522011
"Tasman",2016-12-31,22498,0.0162157279009891
"Waikato",2016-12-31,190889,0.0169194461758109
"Wellington",2016-12-31,198453,0.00931741777327955
"West Coast",2016-12-31,16737,0.00540637952784295
"Auckland",2017-01-31,528025,0.0152882089856443
"Bay of Plenty",2017-01-31,122724,0.0178060492465395
"Canterbury",2017-01-31,248072,0.0143231562462944
"Gisborne",2017-01-31,18329,0.00487938596491233
"Hawke's Bay",2017-01-31,65526,0.00637373101319283
"Manawatu-Whanganui",2017-01-31,101012,0.00548471546172147
"Marlborough",2017-01-31,22693,0.00983446066215743
"Nelson",2017-01-31,20935,0.00945079319157149
"Northland",2017-01-31,77495,0.0161279748246246
"Otago",2017-01-31,98669,0.0164621771692885
"Southland",2017-01-31,43512,0.00654653126373494
"Taranaki",2017-01-31,48823,0.00988726859034017
"Tasman",2017-01-31,22529,0.0162388921466914
"Waikato",2017-01-31,191164,0.01731680059603
"Wellington",2017-01-31,198560,0.00920975054384288
"West Coast",2017-01-31,16740,0.00492255973106026
"Auckland",2017-02-28,528700,0.0157482281562258
"Bay of Plenty",2017-02-28,122939,0.0185923194829942
"Canterbury",2017-02-28,248358,0.0142981413641432
"Gisborne",2017-02-28,18336,0.00482244629548445
"Hawke's Bay",2017-02-28,65560,0.00632406213544545
"Manawatu-Whanganui",2017-02-28,101062,0.00558203400961177
"Marlborough",2017-02-28,22709,0.00973766118274799
"Nelson",2017-02-28,20950,0.00934669493158613
"Northland",2017-02-28,77605,0.016370899089778
"Otago",2017-02-28,98854,0.017435158501441
"Southland",2017-02-28,43528,0.00652083429681349
"Taranaki",2017-02-28,48879,0.0104812701562889
"Tasman",2017-02-28,22572,0.0171232876712328
"Waikato",2017-02-28,191452,0.0177066887800936
"Wellington",2017-02-28,198683,0.00925526132651977
"West Coast",2017-02-28,16746,0.00480019200768034
"Auckland",2017-03-31,529376,0.0157823740144412
"Bay of Plenty",2017-03-31,123136,0.0189497376826706
"Canterbury",2017-03-31,248639,0.0139922025382533
"Gisborne",2017-03-31,18347,0.00509477374821965
"Hawke's Bay",2017-03-31,65600,0.00636649535936185
"Manawatu-Whanganui",2017-03-31,101115,0.00566910338654325
"Marlborough",2017-03-31,22731,0.00995245923490473
"Nelson",2017-03-31,20965,0.00929135374542644
"Northland",2017-03-31,77729,0.0167032909538012
"Otago",2017-03-31,98995,0.0177341420787498
"Southland",2017-03-31,43548,0.00630849220103991
"Taranaki",2017-03-31,48918,0.0106398363737785
"Tasman",2017-03-31,22599,0.0169194078207262
"Waikato",2017-03-31,191742,0.0179820020705583
"Wellington",2017-03-31,198801,0.00877344320857354
"West Coast",2017-03-31,16754,0.00467738066682655
"Auckland",2017-04-30,529967,0.0153616541079684
"Bay of Plenty",2017-04-30,123327,0.0193914746943735
"Canterbury",2017-04-30,249042,0.0147914527406974
"Gisborne",2017-04-30,18352,0.00525854513584578
"Hawke's Bay",2017-04-30,65646,0.00651630609772935
"Manawatu-Whanganui",2017-04-30,101178,0.00600552826774314
"Marlborough",2017-04-30,22747,0.00990055052388561
"Nelson",2017-04-30,20978,0.0089457483647557
"Northland",2017-04-30,77861,0.0174184612168096
"Otago",2017-04-30,99117,0.0177537273586068
"Southland",2017-04-30,43570,0.00639826299863722
"Taranaki",2017-04-30,48953,0.0106321483133078
"Tasman",2017-04-30,22637,0.0177134379355304
"Waikato",2017-04-30,192018,0.0181715988567852
"Wellington",2017-04-30,198942,0.00882343992454437
"West Coast",2017-04-30,16758,0.00443538719731484
"Auckland",2017-05-31,530588,0.0154891434367792
"Bay of Plenty",2017-05-31,123583,0.0201499067210382
"Canterbury",2017-05-31,249410,0.0149881779373044
"Gisborne",2017-05-31,18365,0.00564012703975458
"Hawke's Bay",2017-05-31,65681,0.00652823538426173
"Manawatu-Whanganui",2017-05-31,101247,0.00626136736336802
"Marlborough",2017-05-31,22762,0.00931181269953885
"Nelson",2017-05-31,20997,0.00932557804162859
"Northland",2017-05-31,78004,0.0180897439244041
"Otago",2017-05-31,99266,0.0176327066204662
"Southland",2017-05-31,43590,0.00644178153355957
"Taranaki",2017-05-31,48989,0.0103741286144454
"Tasman",2017-05-31,22661,0.0172831747171844
"Waikato",2017-05-31,192348,0.0184740997251918
"Wellington",2017-05-31,199090,0.00876059606507873
"West Coast",2017-05-31,16765,0.00437335250419357
"Auckland",2017-06-30,531391,0.0158652780008106
"Bay of Plenty",2017-06-30,123843,0.0209224681587734
"Canterbury",2017-06-30,249641,0.0146523273016956
"Gisborne",2017-06-30,18370,0.00552849088620078
"Hawke's Bay",2017-06-30,65727,0.00689369915896876
"Manawatu-Whanganui",2017-06-30,101312,0.00658724875557626
"Marlborough",2017-06-30,22786,0.00970443568041834
"Nelson",2017-06-30,21016,0.00960799385088396
"Northland",2017-06-30,78123,0.0185129655945659
"Otago",2017-06-30,99441,0.0179553062331732
"Southland",2017-06-30,43620,0.00680900173110222
"Taranaki",2017-06-30,49025,0.0102206927816357
"Tasman",2017-06-30,22701,0.0175713837464699
"Waikato",2017-06-30,192696,0.0191134005352176
"Wellington",2017-06-30,199370,0.00967284513319155
"West Coast",2017-06-30,16770,0.00413148913238737
"Auckland",2017-07-31,532353,0.0157838196767293
"Bay of Plenty",2017-07-31,124079,0.0212179323626966
"Canterbury",2017-07-31,249939,0.0141858360756848
"Gisborne",2017-07-31,18376,0.00525164113785559
"Hawke's Bay",2017-07-31,65774,0.00710457816567134
"Manawatu-Whanganui",2017-07-31,101380,0.00672273914381893
"Marlborough",2017-07-31,22820,0.0103156683047771
"Nelson",2017-07-31,21028,0.00950552088334145
"Northland",2017-07-31,78248,0.0186419495938346
"Otago",2017-07-31,99622,0.0180781376145851
"Southland",2017-07-31,43635,0.00650474015639046
"Taranaki",2017-07-31,49082,0.0103958663565062
"Tasman",2017-07-31,22732,0.0174103746139731
"Waikato",2017-07-31,193020,0.0191614173851977
"Wellington",2017-07-31,199506,0.00976839292221721
"West Coast",2017-07-31,16774,0.00376997187481298
"Auckland",2017-08-31,533203,0.0161802737877659
"Bay of Plenty",2017-08-31,124311,0.0217986338865188
"Canterbury",2017-08-31,250260,0.0140276663506187
