"area","date","dwellings","ann.change"
"Nelson",2007-11-30,18787,0.0138146888996815
"Northland",2007-11-30,68924,0.0199177247033058
"Otago",2007-11-30,89373,0.0135176511947017
"Southland",2007-11-30,40953,0.00770177165354324
"Taranaki",2007-11-30,44650,0.0139891901712312
"Tasman",2007-11-30,20210,0.0115115115115114
"Waikato",2007-11-30,170969,0.0183697173660542
"Wellington",2007-11-30,185154,0.00928313282565907
"West Coast",2007-11-30,15436,0.0148586456278763
"Auckland",2007-12-31,484801,0.014242886402102
"Bay of Plenty",2007-12-31,111468,0.0152467347942511
"Canterbury",2007-12-31,225487,0.0138758368892227
"Gisborne",2007-12-31,17447,0.00605466497520468
"Hawke's Bay",2007-12-31,61402,0.0120819528919218
"Manawatu-Whanganui",2007-12-31,96093,0.0094332685540206
"Marlborough",2007-12-31,20889,0.0149652592196687
"Nelson",2007-12-31,18797,0.0133153638814016
"Northland",2007-12-31,69043,0.0193406463614487
"Otago",2007-12-31,89442,0.0134266970325301
"Southland",2007-12-31,40983,0.00786956200968936
"Taranaki",2007-12-31,44683,0.0139787142306034
"Tasman",2007-12-31,20237,0.0124068237530641
"Waikato",2007-12-31,171208,0.018488994646044
"Wellington",2007-12-31,185294,0.00937501702320054
"West Coast",2007-12-31,15453,0.0141760189013584
"Auckland",2008-01-31,485232,0.0141601021617408
"Bay of Plenty",2008-01-31,111597,0.0152011353092081
"Canterbury",2008-01-31,225657,0.0137240456060592
"Gisborne",2008-01-31,17453,0.0064006458309307
"Hawke's Bay",2008-01-31,61478,0.0122834749390766
"Manawatu-Whanganui",2008-01-31,96201,0.00987822800755822
"Marlborough",2008-01-31,20907,0.0150014564520826
"Nelson",2008-01-31,18821,0.0140078659554981
"Northland",2008-01-31,69141,0.0194329357297671
"Otago",2008-01-31,89565,0.0141538809941686
"Southland",2008-01-31,40997,0.00764390699503514
"Taranaki",2008-01-31,44728,0.013045841637978
"Tasman",2008-01-31,20247,0.0122993850307485
"Waikato",2008-01-31,171437,0.018131176358799
"Wellington",2008-01-31,185395,0.00925447072593166
"West Coast",2008-01-31,15474,0.0152210995932291
"Auckland",2008-02-29,485668,0.0134805762842023
"Bay of Plenty",2008-02-29,111709,0.0151579865686426
"Canterbury",2008-02-29,226029,0.0143789969707169
"Gisborne",2008-02-29,17466,0.0069180214458664
"Hawke's Bay",2008-02-29,61574,0.013146853146853
"Manawatu-Whanganui",2008-02-29,96257,0.00973470822100309
"Marlborough",2008-02-29,20939,0.0151258059824502
"Nelson",2008-02-29,18848,0.0146425495262705
"Northland",2008-02-29,69235,0.0192709713511763
"Otago",2008-02-29,89646,0.0137280622399132
"Southland",2008-02-29,41028,0.00748962502762573
"Taranaki",2008-02-29,44771,0.0130102271698795
"Tasman",2008-02-29,20262,0.0122395963431083
"Waikato",2008-02-29,171727,0.0186858230956775
"Wellington",2008-02-29,185489,0.0086350808315343
"West Coast",2008-02-29,15493,0.0160676810073452
"Auckland",2008-03-31,486166,0.0133313879567292
"Bay of Plenty",2008-03-31,111864,0.0152932954555769
"Canterbury",2008-03-31,226391,0.0146693677784848
"Gisborne",2008-03-31,17469,0.00656871218668975
"Hawke's Bay",2008-03-31,61633,0.0117204812948342
"Manawatu-Whanganui",2008-03-31,96336,0.00959966464053652
"Marlborough",2008-03-31,20979,0.0160306082913599
"Nelson",2008-03-31,18873,0.015059430968644
"Northland",2008-03-31,69336,0.0190326420834497
"Otago",2008-03-31,89726,0.0134866488953147
"Southland",2008-03-31,41059,0.0076075486515006
"Taranaki",2008-03-31,44819,0.012950323193057
"Tasman",2008-03-31,20283,0.0123278099421043
"Waikato",2008-03-31,172036,0.0188989901981107
"Wellington",2008-03-31,185635,0.00862275058680351
"West Coast",2008-03-31,15514,0.0163784067085955
"Auckland",2008-04-30,486608,0.0133655428059727
"Bay of Plenty",2008-04-30,111947,0.0152357459620738
"Canterbury",2008-04-30,226590,0.014542719237761
"Gisborne",2008-04-30,17475,0.0067984098634557
"Hawke's Bay",2008-04-30,61674,0.0121608980355472
"Manawatu-Whanganui",2008-04-30,96408,0.00999434282481615
"Marlborough",2008-04-30,21008,0.0167457167747556
"Nelson",2008-04-30,18899,0.0152565135643299
"Northland",2008-04-30,69444,0.0195410567733032
"Otago",2008-04-30,89793,0.0135336478768313
"Southland",2008-04-30,41090,0.00797252545075433
"Taranaki",2008-04-30,44856,0.0130767667186125
"Tasman",2008-04-30,20293,0.0118169126445951
"Waikato",2008-04-30,172243,0.0191230156617026
"Wellington",2008-04-30,185772,0.00882995014825183
"West Coast",2008-04-30,15528,0.0163633983505695
"Auckland",2008-05-31,487061,0.0130262605085711
"Bay of Plenty",2008-05-31,112113,0.0152496174012262
"Canterbury",2008-05-31,226906,0.0145176362230002
"Gisborne",2008-05-31,17487,0.00702562625971792
"Hawke's Bay",2008-05-31,61745,0.0122628981753201
"Manawatu-Whanganui",2008-05-31,96499,0.0100376805526481
"Marlborough",2008-05-31,21051,0.0171530730575957
"Nelson",2008-05-31,18939,0.0166407214557946
"Northland",2008-05-31,69537,0.0194247346507945
"Otago",2008-05-31,89912,0.0139955566081358
"Southland",2008-05-31,41118,0.00809061488673146
"Taranaki",2008-05-31,44909,0.0128554996729742
"Tasman",2008-05-31,20329,0.012602111974497
"Waikato",2008-05-31,172565,0.019333459348345
"Wellington",2008-05-31,185929,0.00878958705217858
"West Coast",2008-05-31,15557,0.0164652074485463
"Auckland",2008-06-30,487728,0.0133449683672515
"Bay of Plenty",2008-06-30,112267,0.015200839165898
"Canterbury",2008-06-30,227188,0.0147349802804069
"Gisborne",2008-06-30,17496,0.0065585088022091
"Hawke's Bay",2008-06-30,61804,0.0128150503097244
"Manawatu-Whanganui",2008-06-30,96582,0.0101663005961719
"Marlborough",2008-06-30,21073,0.0175768989328311
"Nelson",2008-06-30,18980,0.0181311018131103
"Northland",2008-06-30,69640,0.0194103697631525
"Otago",2008-06-30,90011,0.0141741687604926
"Southland",2008-06-30,41150,0.00818306546452363
