"date","index","area","level","measure","freq","area_number"
2019-03-31,1.35396017437791,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2019-04-30,1.37269739883301,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2019-05-31,1.46072462440036,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2019-06-30,1.47780940381749,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2019-07-31,1.40745037906107,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2019-08-31,1.38285983874394,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2019-09-30,1.4579789502008,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2019-10-31,1.36568489728326,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2019-11-30,1.403662268093,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2019-12-31,1.42946153126036,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2020-01-31,1.49798962826163,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2020-02-29,1.41545910652695,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2020-03-31,1.41663675590003,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2020-04-30,1.40113822236524,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2020-05-31,1.35225213457085,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2020-06-30,1.37527696083092,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2020-07-31,1.41027505247315,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2020-08-31,1.39489868170742,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2020-09-30,1.39855790085203,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2020-10-31,1.42361352568666,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2020-11-30,1.43609898309065,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2020-12-31,1.40240388545177,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2021-01-31,1.41667193340279,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2021-02-28,1.44695191585068,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2021-03-31,1.42367602729775,"Ashburton District","Territorial Local Authority","flow","Monthly",63
