"date","index","type","area","change_since06"
2007-07-31,0.967513482574867,"relative rental price index","Otago",-0.032
2007-07-31,0.987467721735664,"relative rental price index","Southland",-0.013
2007-07-31,1.03190556965352,"relative rental price index","Taranaki",0.032
2007-07-31,1.00337072208387,"relative rental price index","Tasman",0.003
2007-07-31,0.989588357138336,"relative rental price index","Waikato",-0.01
2007-07-31,1.03632306518977,"relative rental price index","Wellington",0.036
2007-07-31,1.04197374856165,"relative rental price index","West Coast",0.042
2007-08-31,1.00742717560535,"relative rental price index","Auckland",0.007
2007-08-31,1.00388368244311,"relative rental price index","Bay of Plenty",0.004
2007-08-31,1.00007159794484,"relative rental price index","Canterbury",0
2007-08-31,1.06829623204241,"relative rental price index","Gisborne",0.068
2007-08-31,0.988434549300223,"relative rental price index","Hawke's Bay",-0.012
2007-08-31,0.989539226206243,"relative rental price index","Manawatu- Whanganui",-0.01
2007-08-31,0.984346715354393,"relative rental price index","Marlborough",-0.016
2007-08-31,0.989346230643188,"relative rental price index","Nelson",-0.011
2007-08-31,1.01411994418661,"relative rental price index","Northland",0.014
2007-08-31,0.967611895663218,"relative rental price index","Otago",-0.032
2007-08-31,0.968100305383624,"relative rental price index","Southland",-0.032
2007-08-31,1.02058516116832,"relative rental price index","Taranaki",0.021
2007-08-31,1.02919147324782,"relative rental price index","Tasman",0.029
2007-08-31,0.99028232121405,"relative rental price index","Waikato",-0.01
2007-08-31,1.00983629915468,"relative rental price index","Wellington",0.01
2007-08-31,1.01360233389794,"relative rental price index","West Coast",0.014
2007-09-30,0.997899733289096,"relative rental price index","Auckland",-0.002
2007-09-30,1.01206407227063,"relative rental price index","Bay of Plenty",0.012
2007-09-30,0.998166710099355,"relative rental price index","Canterbury",-0.002
2007-09-30,1.06688656276845,"relative rental price index","Gisborne",0.067
2007-09-30,1.00068467814197,"relative rental price index","Hawke's Bay",0.001
2007-09-30,1.00369573219684,"relative rental price index","Manawatu- Whanganui",0.004
2007-09-30,0.989945867479378,"relative rental price index","Marlborough",-0.01
2007-09-30,1.07806744151284,"relative rental price index","Nelson",0.078
2007-09-30,1.02404597585966,"relative rental price index","Northland",0.024
2007-09-30,0.973502631343271,"relative rental price index","Otago",-0.026
2007-09-30,0.989717555761602,"relative rental price index","Southland",-0.01
2007-09-30,1.04566703674541,"relative rental price index","Taranaki",0.046
2007-09-30,0.986426376105627,"relative rental price index","Tasman",-0.014
2007-09-30,0.981664592895265,"relative rental price index","Waikato",-0.018
2007-09-30,1.03326737680448,"relative rental price index","Wellington",0.033
2007-09-30,1.00684684348419,"relative rental price index","West Coast",0.007
2007-10-31,0.992224474142428,"relative rental price index","Auckland",-0.008
2007-10-31,1.00282789166202,"relative rental price index","Bay of Plenty",0.003
2007-10-31,0.995339185996187,"relative rental price index","Canterbury",-0.005
