"Labour Force Status by Sex by Regional Council (Qrtly-Mar/Jun/Sep/Dec)","",""
"","","Total Both Sexes"
" "," ","Unemployment Rate"
" ","2019Q1",5.6
" ","2019Q2",4.9
" ","2019Q3",5.3
" ","2019Q4",4.3
" ","2020Q1",5.9
" ","2020Q2",4.3
" ","2020Q3",6.7
" ","2020Q4",5.7
" ","2021Q1",5.1
" ","2021Q2",3.1
" ","2021Q3",2.6
" ","2021Q4",3.8
" ","2022Q1",3.5
" ","2022Q2",4.3
" ","2022Q3",3.2
"Taranaki","1986Q1",6.0
" ","1986Q2",3.3
" ","1986Q3",5.8
" ","1986Q4",6.9
" ","1987Q1",5.4
" ","1987Q2",3.1
" ","1987Q3",2.6
" ","1987Q4",4.2
" ","1988Q1",4.9
" ","1988Q2",5.5
" ","1988Q3",9.8
" ","1988Q4",10.4
" ","1989Q1",9.4
" ","1989Q2",11.5
" ","1989Q3",12.2
" ","1989Q4",9.8
" ","1990Q1",9.7
" ","1990Q2",11.0
" ","1990Q3",9.4
" ","1990Q4",10.1
" ","1991Q1",9.7
" ","1991Q2",11.4
" ","1991Q3",13.2
" ","1991Q4",14.5
" ","1992Q1",13.5
" ","1992Q2",10.1
" ","1992Q3",10.3
" ","1992Q4",12.1
" ","1993Q1",13.4
" ","1993Q2",8.7
" ","1993Q3",11.2
" ","1993Q4",9.9
" ","1994Q1",10.0
" ","1994Q2",8.2
" ","1994Q3",8.1
" ","1994Q4",7.8
" ","1995Q1",7.8
" ","1995Q2",6.2
" ","1995Q3",8.3
" ","1995Q4",6.5
" ","1996Q1",7.5
" ","1996Q2",6.4
" ","1996Q3",8.2
" ","1996Q4",7.5
" ","1997Q1",8.4
" ","1997Q2",6.9
" ","1997Q3",8.0
" ","1997Q4",6.6
" ","1998Q1",6.7
" ","1998Q2",8.2
" ","1998Q3",6.8
" ","1998Q4",7.3
" ","1999Q1",7.0
" ","1999Q2",6.3
" ","1999Q3",6.8
" ","1999Q4",8.9
" ","2000Q1",10.1
" ","2000Q2",8.3
" ","2000Q3",6.2
" ","2000Q4",5.3
" ","2001Q1",6.3
" ","2001Q2",4.8
" ","2001Q3",5.8
" ","2001Q4",6.1
" ","2002Q1",5.0
" ","2002Q2",4.5
" ","2002Q3",5.7
" ","2002Q4",5.8
" ","2003Q1",5.2
" ","2003Q2",5.7
" ","2003Q3",5.1
" ","2003Q4",4.5
